Snr,Stadtteil,Wohngebäude,Wohnungen,1Raum,2Raum,13aum,4Raum,ab5Raum
1,Stadtkern,304,2232,263,579,790,427,173
2,Ostviertel,668,3843,215,860,1343,1000,425
3,Nordviertel,652,4269,370,1316,1450,858,275
4,Westviertel,151,1517,80,434,472,382,149
5,Südviertel,1062,7517,597,1717,2509,1918,776
6,Südostviertel,1057,7411,343,1336,2696,2321,715
11,Huttrop,1878,8440,128,1028,2824,2573,1887
36,Frillendorf,1228,2956,81,335,864,719,957
10,Rüttenscheid,3390,18267,799,2699,6280,5830,2659
12,Rellinghausen,801,2159,23,341,685,521,589
13,Bergerhausen,2153,6856,146,721,2095,2185,1709
14,Stadtwald,2285,5494,135,468,1347,1576,1968
7,Altendorf,2205,12189,574,2254,4863,3235,1263
8,Frohnhausen,3628,19177,397,4146,7755,4830,2049
9,Holsterhausen,2689,16558,715,3700,6517,3972,1654
15,Fulerum,547,1738,15,49,810,481,383
28,Haarzopf,1679,3463,55,263,720,983,1442
41,Margarethenhöhe,1169,3811,12,158,279,1211,2151
16,Schönebeck,2038,5279,75,442,1453,1718,1591
17,Bedingrade,2074,6595,57,559,2219,2277,1483
18,Frintrop,1325,4864,59,499,1762,1621,923
19,Dellwig,1547,5038,66,699,1498,1686,1089
20,Gerschede,1432,4085,109,474,1427,1152,923
21,Borbeck-Mitte,2094,7837,382,1217,2316,2477,1445
22,Bochold,2189,9650,272,1132,3329,3456,1461
23,Bergeborbeck,558,2205,87,456,819,562,281
24,Altenessen-Nord,2743,8492,96,802,2833,2709,2052
25,Altenessen-Süd,2919,14196,674,2059,4697,4742,2024
40,Karnap,1518,4066,65,792,1344,1112,753
50,Vogelheim,982,2810,17,172,970,944,707
37,Schonnebeck,2029,5784,127,514,1744,1919,1480
38,Stoppenberg,2718,8211,111,844,2304,3005,1947
39,Katernberg,3812,11275,266,1546,3390,3482,2591
34,Steele,2453,9303,263,1256,2992,2863,1929
35,Kray,3153,10303,125,1286,3367,3129,2396
45,Freisenbruch,1937,8320,107,729,2617,3059,1808
46,Horst,1598,5101,167,520,1172,1598,1644
47,Leithe,1136,3408,38,432,995,1064,879
31,Heisingen,3176,6720,103,521,1429,1913,2754
32,Kupferdreh,2396,5980,110,580,1449,1748,2093
33,Byfang,537,1127,8,118,248,295,458
43,Überruhr-Hinsel,1324,4198,66,386,907,1713,1126
44,Überruhr-Holthausen,1434,3977,81,404,960,1175,1357
48,Burgaltendorf,2165,4953,76,331,1089,1481,1976
26,Bredeney,2230,6129,176,529,1341,1841,2242
27,Schuir,476,672,7,24,82,157,402
29,Werden,1982,5578,191,611,1441,1570,1765
30,Heidhausen,1706,3134,91,255,568,716,1504
42,Fischlaken,1141,2314,59,218,493,585,959
49,Kettwig,3744,9608,430,858,2104,2822,3394
