"Snr","Stadtteil","unter 55","55 bis 64","65 bis 74","75 bis 79","80 bis 84","85 und mehr","Durchschnittsalter"
"01","Stadtkern",".",".","9","7","9",13,"77,0"
"02","Ostviertel","14","12","24","20","12",24,"73,6"
"03","Nordviertel","3","5","19","10","7",16,"74,0"
"04","Westviertel",".",".","8","16","12",56,"83,1"
"05","Südviertel","12","5","20","16","10",35,"75,3"
"06","Südostviertel","10","14","22","13","12",26,"73,8"
"11","Huttrop","8","17","36","31","27",74,"78,7"
"36","Frillendorf","8","5","13","4","10",11,"72,4"
"10","Rüttenscheid","16","27","55","46","46",138,"79,6"
"12","Rellinghausen","3","3","5","12","8",39,"83,4"
"13","Bergerhausen","12","14","21","22","21",58,"77,6"
"14","Stadtwald","4","13","25","22","17",88,"81,9"
"07","Altendorf","21","27","37","35","27",60,"74,2"
"08","Frohnhausen","30","46","58","63","41",110,"75,7"
"09","Holsterhausen","25","18","63","41","33",77,"74,7"
"15","Fulerum","3","3","8","7","3",12,"77,0"
"28","Haarzopf",".",".","29","18","15",37,"78,3"
"41","Margarethenhöhe",".",".","18","21","14",53,"81,6"
"16","Schönebeck","3","10","13","22","14",44,"79,9"
"17","Bedingrade","13","12","29","33","26",51,"76,8"
"18","Frintrop","6","14","17","23","20",36,"76,9"
"19","Dellwig","4","13","24","30","18",38,"77,4"
"20","Gerschede","6","9","23","17","7",13,"72,4"
"21","Borbeck-Mitte","13","18","32","42","25",57,"76,5"
"22","Bochold","14","26","45","53","32",59,"75,4"
"23","Bergeborbeck","12","9","7","6","6",4,"66,8"
"24","Altenessen-Nord","4","20","40","37","28",49,"77,4"
"25","Altenessen-Süd","42","35","56","54","50",88,"73,8"
"40","Karnap","11","16","18","14","8",28,"73,7"
"50","Vogelheim","7","13","7","21","18",35,"77,7"
"37","Schonnebeck","6","15","27","22","20",42,"76,7"
"38","Stoppenberg","10","21","48","35","23",63,"76,1"
"39","Katernberg","15","30","50","53","35",68,"76,0"
"34","Steele","15","28","39","45","38",152,"80,4"
"35","Kray","16","23","29","31","28",43,"74,0"
"45","Freisenbruch","9","21","44","42","31",57,"76,5"
"46","Horst","6","10","19","23","4",28,"75,6"
"47","Leithe","7","5","7","17","3",15,"74,3"
"31","Heisingen","8","18","25","21","16",61,"77,5"
"32","Kupferdreh","8","11","32","28","18",57,"78,6"
"33","Byfang",".","3",".",".",".",6,"74,9"
"43","Überruhr-Hinsel","4","12","22","22","18",53,"79,1"
"44","Überruhr-Holthausen","7","11","23","33","18",61,"79,6"
"48","Burgaltendorf",".","10",".",".",".",30,"78,2"
"26","Bredeney","5","5","16","18","15",43,"80,1"
"27","Schuir","-","-",".",".","4",9,"85,3"
"29","Werden","3","18","26","32","22",72,"80,1"
"30","Heidhausen",".",".","19","13","7",42,"80,8"
"42","Fischlaken",".",".",".",".","3",15,"76,2"
"49","Kettwig","10","19","36","49","31",125,"80,7"
