"Snr","Stadtteil","männlich","weiblich","ehelich","nicht ehelich"
"01","Stadtkern",19,13,18,14
"02","Ostviertel",31,40,38,33
"03","Nordviertel",45,48,51,42
"04","Westviertel",4,10,10,4
"05","Südviertel",58,52,70,40
"06","Südostviertel",68,54,78,44
"11","Huttrop",56,71,89,38
"36","Frillendorf",21,30,23,28
"10","Rüttenscheid",136,143,213,66
"12","Rellinghausen",9,10,14,5
"13","Bergerhausen",45,40,60,25
"14","Stadtwald",41,38,57,22
"07","Altendorf",102,122,127,97
"08","Frohnhausen",156,119,172,103
"09","Holsterhausen",132,127,185,74
"15","Fulerum",11,10,17,4
"28","Haarzopf",23,21,35,9
"41","Margarethenhöhe",19,29,37,11
"16","Schönebeck",31,34,45,20
"17","Bedingrade",39,35,46,28
"18","Frintrop",29,22,26,25
"19","Dellwig",34,40,44,30
"20","Gerschede",33,39,46,26
"21","Borbeck-Mitte",51,45,63,33
"22","Bochold",81,80,104,57
"23","Bergeborbeck",31,37,30,38
"24","Altenessen-Nord",77,72,107,42
"25","Altenessen-Süd",134,146,160,120
"40","Karnap",34,28,35,27
"50","Vogelheim",29,30,42,17
"37","Schonnebeck",51,57,65,43
"38","Stoppenberg",76,61,83,54
"39","Katernberg",99,102,128,73
"34","Steele",53,62,75,40
"35","Kray",87,72,91,68
"45","Freisenbruch",73,84,104,53
"46","Horst",37,39,53,23
"47","Leithe",22,17,27,12
"31","Heisingen",36,52,76,12
"32","Kupferdreh",59,42,77,24
"33","Byfang",6,11,,
"43","Überruhr-Hinsel",27,24,29,22
"44","Überruhr-Holthausen",24,16,29,11
"48","Burgaltendorf",37,35,,
"26","Bredeney",34,39,62,11
"27","Schuir",,,,
"29","Werden",36,28,52,12
"30","Heidhausen",18,20,30,8
"42","Fischlaken",,,,
"49","Kettwig",60,51,81,30
