"Snr","Stadtteil","männlich","Weiblich","ehelich","nicht ehelich"
"01","Stadtkern","14","17","21","10"
"02","Ostviertel","33","40","47","26"
"03","Nordviertel","50","57","51","56"
"04","Westviertel","16","9","18","7"
"05","Südviertel","68","65","94","39"
"06","Südostviertel","92","65","86","71"
"11","Huttrop","75","76","101","50"
"36","Frillendorf","22","21","24","19"
"10","Rüttenscheid","144","150","211","83"
"12","Rellinghausen","17","18","22","13"
"13","Bergerhausen","53","54","67","40"
"14","Stadtwald","32","37","49","20"
"07","Altendorf","119","104","131","92"
"08","Frohnhausen","158","136","184","110"
"09","Holsterhausen","135","119","181","73"
"15","Fulerum","13","15","23","5"
"28","Haarzopf","29","21","29","21"
"41","Margarethenhöhe","21","15","23","13"
"16","Schönebeck","30","30","45","15"
"17","Bedingrade","26","40","52","14"
"18","Frintrop","38","26","41","23"
"19","Dellwig","27","28","34","21"
"20","Gerschede","32","37","50","19"
"21","Borbeck-Mitte","63","52","76","39"
"22","Bochold","105","89","125","69"
"23","Bergeborbeck","24","28","14","38"
"24","Altenessen-Nord","93","73","122","44"
"25","Altenessen-Süd","154","130","161","123"
"40","Karnap","31","26","32","25"
"50","Vogelheim","22","47","37","32"
"37","Schonnebeck","59","42","68","33"
"38","Stoppenberg","62","69","79","52"
"39","Katernberg","125","107","144","88"
"34","Steele","80","68","94","54"
"35","Kray","101","81","102","80"
"45","Freisenbruch","80","73","105","48"
"46","Horst","36","42","50","28"
"47","Leithe","23","29","33","19"
"31","Heisingen","46","36","73","9"
"32","Kupferdreh","43","52","69","26"
"33","Byfang",".",".",".","."
"43","Überruhr-Hinsel","30","25","36","19"
"44","Überruhr-Holthausen","20","23","30","13"
"48","Burgaltendorf",".",".",".","."
"26","Bredeney","51","51","81","21"
"27","Schuir","6","8","8","6"
"29","Werden","47","34","56","25"
"30","Heidhausen","26","13","31","8"
"42","Fischlaken","13","7","14","6"
"49","Kettwig","64","53","92","25"
