"Snr","Stadtteil","nur_deutsch","doppelte","nur_auslaendische"
"01","Stadtkern",1606,447,1222
"02","Ostviertel",4351,723,1687
"03","Nordviertel",4937,945,1972
"04","Westviertel",121,181,526
"05","Südviertel",8744,699,1537
"06","Südostviertel",8017,1021,2334
"11","Huttrop",12261,998,1465
"36","Frillendorf",5152,330,555
"10","Rüttenscheid",24545,1101,2286
"12","Rellinghausen",3326,93,233
"13","Bergerhausen",10965,359,534
"14","Stadtwald",9705,215,317
"07","Altendorf",14354,1998,4237
"08","Frohnhausen",26022,1908,3787
"09","Holsterhausen",20682,1433,297
"15","Fulerum",3193,73,73
"28","Haarzopf",6378,113,153
"41","Margarethenhöhe",6677,348,421
"16","Schönebeck",9592,310,365
"17","Bedingrade",11568,471,473
"18","Frintrop",8109,333,325
"19","Dellwig",825,649,509
"20","Gerschede",6871,705,380
"21","Borbeck-Mitte",11834,855,1079
"22","Bochold",14184,202,2044
"23","Bergeborbeck",3411,361,549
"24","Altenessen-Nord",12687,1823,2648
"25","Altenessen-Süd",18522,3337,4302
"40","Karnap",6424,691,990
"50","Vogelheim",4551,664,961
"37","Schonnebeck",94,957,1129
"38","Stoppenberg",12884,213,1817
"39","Katernberg",16852,2654,3936
"34","Steele",14361,1158,1599
"35","Kray",1589,1177,2838
"45","Freisenbruch",13366,2197,1169
"46","Horst",8003,1643,756
"47","Leithe",6131,377,554
"31","Heisingen",121,235,337
"32","Kupferdreh",10318,441,696
"33","Byfang",2065,27,47
"43","Überruhr-Hinsel",7648,342,253
"44","Überruhr-Holthausen",6943,909,563
"48","Burgaltendorf",9156,199,177
"26","Bredeney",9946,357,516
"27","Schuir",146,56,51
"29","Werden",9033,272,631
"30","Heidhausen",5997,129,268
"42","Fischlaken",4141,97,132
"49","Kettwig",16505,430,876
